number,name,name_object,date,author,address,district,protection_category,base,note,lat,lon
1,,Здание Консисторского управления Могилевской Римско-католической архиепархии с костелом Успения Девы Марии (Духовная семинария Римско-католической архиепархии),1870-1873; 1878-1879; 1896-1897; 1900-1902,"арх. В.И. Собольщиков, Е.С. Воротилов; арх. Е.С. Воротилов, худ. С.И. Садиков; арх. А.Д. Фиалковский; гражд. инж. Л.П. Шишко","1-я Красноармейская ул., 11, лит. А, Б",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,,
2,,Здание манежа (экзерциргауса) лейб-гвардии Измайловского полка,1795-1797,арх. Кварнеги Дж.,"1-я Красноармейская ул., 13; Измайловский пр., 2-а",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
3,,"Дом, где в начале 1895 г. Ленин В.И. встречался с петербургскими социал-демократами",,,"1-я Красноармейская ул., 22",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
4,,Трансформаторная подстанция,1906-1907,гражд.инж. Горенберг Л.Б.,"11-я Красноармейская ул., 28",Адмиралтейский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 963 от 05.12.1988,,,
5,,Манеж графа Г.И. Рибопьера (Здание Санкт-Петербургского атлетического общества),1887; 1891,арх. А.А. Степанов; арх. М.С. Шуцман,"2-я Красноармейская ул., 12",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-26 от 15.09.2009,,,
6,,Особняк и доходный дом Н.Г. Кудрявцева,"1878 (строительство дома); 1882, 1897 (строительство особняка)",гражд. инж. Н.Г. Кудрявцев,"4-я Красноармейская ул., 12/11, лит. А",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
7,,Дом Закуриной. Здесь в октябре-декабре 1893 г. проходили собрания марксистского кружка студентов-технологов,1855,арх. Барч Г.М.,"5-я Красноармейская ул., 19",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
8,,"Дом, где в 1901-1907 гг. жил шахматист Чигорин М.И.",,,"9-я Красноармейская ул., 15",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.913839,30.301333
9,,Адмиралтейский бульвар,"2-я пол. 19 в., 1875",автор не установлен,Адмиралтейская наб.,Адмиралтейский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 849 от 31.10.1988,,59.938139,30.305385
10,,"Дом, где жили: в 1906-1910 гг., физик Голицын Б.Б., в 1890 г., в 1893 г. - композитор Чайковский П.И.",,,"Адмиралтейская наб., 10; Черноморский пер., 7",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.938166,30.307038
11,,Здания Государственного Дворянского земельного и Крестьянского поземельного банков,1877-1880; 1880-1881; 1912,"арх. Н.Л. Бенуа, А. И. Кракау (1877-1880); арх. А.В. Иванов (1880-1881); техн. А.В. Друкер, гражд. инж. К.К. Тарасов (1912)","Адмиралтейская наб., 12-14; Керченский пер., 1; Черноморский пер., 9-11",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
12,,Главное Адмиралтейство,1704; 1732-1738; 1806-1823,по чертежу Петра 1; арх. Коробов И.К.; арх. Захаров А.Д.,"Адмиралтейская наб., 2, 16; Адмиралтейский пр., 1",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.937738,30.309158
13,,Дом Т.В. Макаровой,1879-1880,арх. А.Х. Кольб,"Адмиралтейская наб., 6; Азовский пер., 2; Черноморский пер., 3",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
14,,Дворец Великого князя Михаила Михайловича,1884-1891; 1911,арх. Месмахер М.Е.; гражд.инж. Бергштрессер П.К.,"Адмиралтейская наб., 8; Черноморский пер., 4, 5; Азовский пер., 1",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.938667,30.307801
15,Дворец Великого князя Михаила Михайловича,Дворец,1884-1891; 1911,арх. Месмахер М.Е.; гражд.инж. Бергштрессер П.К.,"Адмиралтейская наб., 8; Черноморский пер., 5; Азовский пер., 1",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.938667,30.307801
16,Дворец Великого князя Михаила Михайловича,Служебный дом,1884-1888,арх. Месмахер М.Е.,"Черноморский пер., 4",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.938067,30.307693
17,,Александровский сад,1872-1874; 1930 (перепланирован),ботаник Регель Э.Л.; арх. Ильин Л.А.,"Адмиралтейская наб., Адмиралтейский пр., Дворцовая пл., Адмиралтейский просп., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.93584,30.308277
18,Александровский сад,Ограда,1872-1874,инж. Жоффрио К.,Адмиралтейская наб.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.938139,30.305385
19,Александровский сад,Ограда,1872-1874,инж. Жоффрио К.,"Адмиралтейский пр., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.936458,30.302295
